"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 00:54:41 GMT 2024","Sun Feb 18 00:54:51 GMT 2024","9630","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseOnCreationCasePage","The user can create new Test Case on case creation page",""
"passed","Sun Feb 18 00:54:41 GMT 2024","Sun Feb 18 00:54:47 GMT 2024","5808","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","loginWithValidCredentials","The user should login with the correct credentials",""
"passed","Sun Feb 18 00:55:01 GMT 2024","Sun Feb 18 00:55:06 GMT 2024","5095","QaseIO All Test","Thread #1","tests.ProjectTest","tests.ProjectTest","createNewProject","The user can create new project",""
"passed","Sun Feb 18 00:54:58 GMT 2024","Sun Feb 18 00:55:00 GMT 2024","1837","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 00:55:07 GMT 2024","Sun Feb 18 00:55:13 GMT 2024","6037","QaseIO All Test","Thread #1","tests.SuiteTest","tests.SuiteTest","createNewSuite","The user can create new suite on project page",""
"passed","Sun Feb 18 00:54:51 GMT 2024","Sun Feb 18 00:54:59 GMT 2024","7209","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseWithAllFields","The user can create new and fill out all fields",""
"passed","Sun Feb 18 00:54:50 GMT 2024","Sun Feb 18 00:54:52 GMT 2024","2237","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:54:59 GMT 2024","Sun Feb 18 00:55:06 GMT 2024","7149","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCasesOnProjectPage","The user can create new Test Case on project page",""
"passed","Sun Feb 18 00:54:56 GMT 2024","Sun Feb 18 00:54:58 GMT 2024","1775","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 00:54:53 GMT 2024","Sun Feb 18 00:54:55 GMT 2024","2225","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:54:48 GMT 2024","Sun Feb 18 00:54:50 GMT 2024","2080","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 00:55:07 GMT 2024","Sun Feb 18 00:55:14 GMT 2024","7283","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","deleteCase","The user can delete test case on project page",""
