"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 16 21:50:30 GMT 2024","Fri Feb 16 21:50:39 GMT 2024","8359","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseWithAllFields","The user can create new and fill out all fields",""
"passed","Fri Feb 16 21:50:31 GMT 2024","Fri Feb 16 21:50:34 GMT 2024","2912","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Fri Feb 16 21:50:19 GMT 2024","Fri Feb 16 21:50:30 GMT 2024","10394","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseOnCreationCasePage","The user can create new Test Case on case creation page",""
"passed","Fri Feb 16 21:50:25 GMT 2024","Fri Feb 16 21:50:27 GMT 2024","1922","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Fri Feb 16 21:50:41 GMT 2024","Fri Feb 16 21:50:47 GMT 2024","6180","QaseIO All Test","Thread #1","tests.ProjectTest","tests.ProjectTest","createNewProject","The user can create new project",""
"passed","Fri Feb 16 21:50:35 GMT 2024","Fri Feb 16 21:50:37 GMT 2024","2354","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Fri Feb 16 21:50:40 GMT 2024","Fri Feb 16 21:50:46 GMT 2024","6435","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCasesOnProjectPage","The user can create new Test Case on project page",""
"passed","Fri Feb 16 21:50:47 GMT 2024","Fri Feb 16 21:50:55 GMT 2024","8626","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","deleteCase","The user can delete test case on project page",""
"passed","Fri Feb 16 21:50:28 GMT 2024","Fri Feb 16 21:50:30 GMT 2024","2418","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Fri Feb 16 21:50:38 GMT 2024","Fri Feb 16 21:50:40 GMT 2024","2244","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Fri Feb 16 21:50:19 GMT 2024","Fri Feb 16 21:50:25 GMT 2024","5237","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","loginWithValidCredentials","The user should login with the correct credentials",""
"passed","Fri Feb 16 21:50:48 GMT 2024","Fri Feb 16 21:50:55 GMT 2024","6690","QaseIO All Test","Thread #1","tests.SuiteTest","tests.SuiteTest","createNewSuite","The user can create new suite on project page",""
