"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 18 17:18:51 GMT 2024","Sun Feb 18 17:18:53 GMT 2024","2485","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 17:19:11 GMT 2024","Sun Feb 18 17:19:18 GMT 2024","7298","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","deleteCase","The user can delete test case on project page",""
"passed","Sun Feb 18 17:18:57 GMT 2024","Sun Feb 18 17:18:59 GMT 2024","1699","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 17:19:02 GMT 2024","Sun Feb 18 17:19:08 GMT 2024","6061","QaseIO All Test","Thread #1","tests.ProjectTest","tests.ProjectTest","createNewProject","The user can create new project",""
"passed","Sun Feb 18 17:18:54 GMT 2024","Sun Feb 18 17:18:56 GMT 2024","2558","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 17:19:09 GMT 2024","Sun Feb 18 17:19:15 GMT 2024","5951","QaseIO All Test","Thread #1","tests.SuiteTest","tests.SuiteTest","createNewSuite","The user can create new suite on project page",""
"passed","Sun Feb 18 17:19:04 GMT 2024","Sun Feb 18 17:19:10 GMT 2024","6304","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCasesOnProjectPage","The user can create new Test Case on project page",""
"passed","Sun Feb 18 17:18:43 GMT 2024","Sun Feb 18 17:18:54 GMT 2024","10446","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseOnCreationCasePage","The user can create new Test Case on case creation page",""
"passed","Sun Feb 18 17:18:59 GMT 2024","Sun Feb 18 17:19:01 GMT 2024","1746","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginFE","Error message should displayed if required fields are empty",""
"passed","Sun Feb 18 17:18:54 GMT 2024","Sun Feb 18 17:19:03 GMT 2024","8414","QaseIO All Test","Thread #2","tests.CaseTest","tests.CaseTest","createNewCaseWithAllFields","The user can create new and fill out all fields",""
"passed","Sun Feb 18 17:18:48 GMT 2024","Sun Feb 18 17:18:50 GMT 2024","1843","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","negativeLoginBE","Error message should displayed if not valid credentials were filled out",""
"passed","Sun Feb 18 17:18:43 GMT 2024","Sun Feb 18 17:18:48 GMT 2024","4361","QaseIO All Test","Thread #1","tests.LoginTest","tests.LoginTest","loginWithValidCredentials","The user should login with the correct credentials",""
